127.0.0.1 - - [23/Apr/2018:13:05:53 +0200] "GET /LETTA/null HTTP/1.1" 404 1008
127.0.0.1 - - [23/Apr/2018:13:05:53 +0200] "GET /LETTA/rest/events?search= HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:13:05:53 +0200] "GET /LETTA/assets/imagenes/Cine.jpg HTTP/1.1" 200 55442
127.0.0.1 - - [23/Apr/2018:13:05:53 +0200] "GET /LETTA/assets/imagenes/Literatura.jpg HTTP/1.1" 200 76577
127.0.0.1 - - [23/Apr/2018:13:05:54 +0200] "GET /LETTA/assets/imagenes/Otros.jpg HTTP/1.1" 200 95461
127.0.0.1 - - [23/Apr/2018:13:05:54 +0200] "GET /LETTA/assets/imagenes/Deportes.jpg HTTP/1.1" 200 91270
127.0.0.1 - - [23/Apr/2018:13:05:54 +0200] "GET /LETTA/assets/imagenes/Series.jpg HTTP/1.1" 200 50285
127.0.0.1 - - [23/Apr/2018:13:05:58 +0200] "GET /LETTA/rest/events?search=c HTTP/1.1" 200 3086
127.0.0.1 - - [23/Apr/2018:13:05:58 +0200] "GET /LETTA/rest/events?search=ci HTTP/1.1" 200 2056
127.0.0.1 - - [23/Apr/2018:13:05:58 +0200] "GET /LETTA/rest/events?search=cin HTTP/1.1" 200 1848
127.0.0.1 - - [23/Apr/2018:13:05:58 +0200] "GET /LETTA/rest/events?search=cine HTTP/1.1" 200 1505
127.0.0.1 - - [23/Apr/2018:13:05:59 +0200] "GET /LETTA/rest/events?search=cinef HTTP/1.1" 200 1505
127.0.0.1 - - [23/Apr/2018:13:05:59 +0200] "GET /LETTA/rest/events?search=cinefo HTTP/1.1" 200 1505
127.0.0.1 - - [23/Apr/2018:13:06:13 +0200] "GET /LETTA/rest/events?search=cinef HTTP/1.1" 200 1505
127.0.0.1 - - [23/Apr/2018:13:06:13 +0200] "GET /LETTA/rest/events?search=cine HTTP/1.1" 200 1505
127.0.0.1 - - [23/Apr/2018:13:06:13 +0200] "GET /LETTA/rest/events?search=cin HTTP/1.1" 200 1848
127.0.0.1 - - [23/Apr/2018:13:06:13 +0200] "GET /LETTA/rest/events?search=ci HTTP/1.1" 200 2056
127.0.0.1 - - [23/Apr/2018:13:06:13 +0200] "GET /LETTA/rest/events?search=c HTTP/1.1" 200 3086
127.0.0.1 - - [23/Apr/2018:13:06:13 +0200] "GET /LETTA/rest/events?search= HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:13:06:14 +0200] "GET /LETTA/rest/events?search=a HTTP/1.1" 200 4176
127.0.0.1 - - [23/Apr/2018:13:06:14 +0200] "GET /LETTA/rest/events?search=aa HTTP/1.1" 200 239
127.0.0.1 - - [23/Apr/2018:13:06:14 +0200] "GET /LETTA/rest/events?search=aaa HTTP/1.1" 200 239
127.0.0.1 - - [23/Apr/2018:13:06:14 +0200] "GET /LETTA/rest/events?search=aaaa HTTP/1.1" 200 239
127.0.0.1 - - [23/Apr/2018:13:06:15 +0200] "GET /LETTA/rest/events?search=aaaaa HTTP/1.1" 200 239
127.0.0.1 - - [23/Apr/2018:13:06:15 +0200] "GET /LETTA/rest/events?search=aaaaaa HTTP/1.1" 200 239
127.0.0.1 - - [23/Apr/2018:13:06:15 +0200] "GET /LETTA/rest/events?search=aaaaaaa HTTP/1.1" 200 239
127.0.0.1 - - [23/Apr/2018:13:06:50 +0200] "GET /LETTA/rest/events?search=aaaaaa HTTP/1.1" 200 239
127.0.0.1 - - [23/Apr/2018:13:06:50 +0200] "GET /LETTA/rest/events?search=aaaaa HTTP/1.1" 200 239
127.0.0.1 - - [23/Apr/2018:13:06:50 +0200] "GET /LETTA/rest/events?search=aaaa HTTP/1.1" 200 239
127.0.0.1 - - [23/Apr/2018:13:06:50 +0200] "GET /LETTA/rest/events?search=aaa HTTP/1.1" 200 239
127.0.0.1 - - [23/Apr/2018:13:06:50 +0200] "GET /LETTA/rest/events?search=aa HTTP/1.1" 200 239
